case_id;line_id;from;to;time
24;1;Новый;Рассмотрение рекрутером;343.1419279628344
24;2;Рассмотрение рекрутером;Планирование интервью;2.667019813772409
24;3;Планирование интервью;Интервью;182.3007045122137
24;4;Интервью;Планирование интервью;1.194150285919139
24;5;Планирование интервью;Интервью;446.1168698675519
24;6;Интервью;Заполнение анкеты;1.71991383112317
24;7;Заполнение анкеты;Проверка;285.2119449759721
24;8;Проверка;Решение о найме;202.8443192171091
24;9;Решение о найме;Согласование офера в компании;129.5987019443656
24;10;Согласование офера в компании;Готов к оформлению;280.2811217774251
24;11;Готов к оформлению;Оформление;71.31582204288547
24;12;Оформление;Оформлен;7.183636177975882
25;1;Новый;Рассмотрение рекрутером;285.219956466527
25;2;Рассмотрение рекрутером;Самоотказ;2.025518183972817
25;3;Самоотказ;Отклонен;91.05138372708181
26;1;Новый;Рассмотрение заказчиком;363.6435834752188
26;2;Рассмотрение заказчиком;Интервью;385.274763870735
26;3;Интервью;Заполнение анкеты;0.6697754743665112
26;4;Заполнение анкеты;Заполнение анкеты;68.29646949040804
26;5;Заполнение анкеты;Проверка;8.454555434870613
26;6;Проверка;Решение о найме;678.2686369557805
26;7;Решение о найме;Согласование офера в компании;76.5033484361482
26;8;Согласование офера в компании;Готов к оформлению;302.0613287375578
26;9;Готов к оформлению;Оформление;129.9916683242966
26;10;Оформление;Оформлен;4.844525110805276
27;1;Новый;Рассмотрение заказчиком;315.6953308556862
27;2;Рассмотрение заказчиком;Отклонен;143.4888111442782
28;1;Новый;Рассмотрение рекрутером;25.29395804159842
28;2;Рассмотрение рекрутером;Отклонен;2.214033110843801
29;1;Новый;Рассмотрение заказчиком;327.3032749620556
29;2;Рассмотрение заказчиком;Оценка кандидата;23.53665226265952
29;3;Оценка кандидата;Отклонен;353.3299689577513
30;1;Новый;Рассмотрение рекрутером;159.3729473236969
30;2;Рассмотрение рекрутером;Готов к переводу;2.945765515887383
30;3;Готов к переводу;Отклонен;225.3848625944902
31;1;Новый;Рассмотрение рекрутером;346.3788142374962
31;2;Рассмотрение рекрутером;Не выходит на связь;1.973172041743876
31;3;Не выходит на связь;Отклонен;294.5215714585441
32;1;Новый;Рассмотрение заказчиком;182.9210159845184
32;2;Рассмотрение заказчиком;Оценка кандидата;393.6160352414312
32;3;Оценка кандидата;Отклонен;687.7048702015152
33;1;Новый;Рассмотрение заказчиком;691.9263315699757
33;2;Рассмотрение заказчиком;Интервью;106.7823755078697
33;3;Интервью;Интервью;1.084862394710658
33;4;Интервью;Интервью;0.9116980349251251
33;5;Интервью;Планирование интервью;1.125376363899996
33;6;Планирование интервью;Интервью;422.0767644633729
33;7;Интервью;Интервью;0.5334416763980934
33;8;Интервью;Интервью;0.9361219812249715
33;9;Интервью;Интервью;1.634179952957663
33;10;Интервью;Интервью;0.9695117709278005
33;11;Интервью;Планирование интервью;1.563950395723527
33;12;Планирование интервью;Отклонен;336.0069781234782
34;1;Новый;Рассмотрение заказчиком;358.2157738537506
34;2;Рассмотрение заказчиком;Оценка кандидата;90.29340482351519
34;3;Оценка кандидата;Отклонен;153.16980479519
35;1;Новый;Рассмотрение рекрутером;603.4455434589239
35;2;Рассмотрение рекрутером;Планирование интервью;3.925969135857352
35;3;Планирование интервью;Интервью;430.2141151842093
35;4;Интервью;Интервью;1.159594673613779
35;5;Интервью;Планирование интервью;1.435064833767351
35;6;Планирование интервью;Интервью;272.0063497038786
35;7;Интервью;Заполнение анкеты;1.971299358247713
35;8;Заполнение анкеты;Заполнение анкеты;80.6948960338263
35;9;Заполнение анкеты;Заполнение анкеты;95.66925387911517
35;10;Заполнение анкеты;Проверка;299.0661407765925
35;11;Проверка;Решение о найме;149.7895333998272
35;12;Решение о найме;Согласование офера в компании;131.7068390669627
35;13;Согласование офера в компании;Готов к оформлению;270.2008868025311
35;14;Готов к оформлению;Оформление;20.16478601960644
35;15;Оформление;Оформлен;3.668872563296339
36;1;Новый;Рассмотрение рекрутером;255.1917256717986
36;2;Рассмотрение рекрутером;Готов к переводу;2.560261218861153
36;3;Готов к переводу;Отклонен;237.6941137451057
37;1;Новый;Рассмотрение рекрутером;32.05818782074268
37;2;Рассмотрение рекрутером;Рассмотрение заказчиком;2.773510685599686
37;3;Рассмотрение заказчиком;Планирование интервью;326.6018245454132
37;4;Планирование интервью;Отклонен;451.4383036835477
38;1;Новый;Рассмотрение заказчиком;491.1311779449336
38;2;Рассмотрение заказчиком;Планирование интервью;23.57263106566248
38;3;Планирование интервью;Интервью;28.52141599733562
38;4;Интервью;Интервью;1.618062459871015
38;5;Интервью;Интервью;0.9598370425903893
38;6;Интервью;Интервью;0.8570586706460297
38;7;Интервью;Интервью;1.504510197941419
38;8;Интервью;Заполнение анкеты;0.5251724989336075
38;9;Заполнение анкеты;Заполнение анкеты;203.2237079226017
38;10;Заполнение анкеты;Заполнение анкеты;319.5447084325425
38;11;Заполнение анкеты;Проверка;318.9591501015246
38;12;Проверка;Решение о найме;678.7452143357071
38;13;Решение о найме;Согласование офера в компании;55.28458181490337
38;14;Согласование офера в компании;Готов к оформлению;97.03173907952481
38;15;Готов к оформлению;Оформление;128.7115562041856
38;16;Оформление;Оформлен;7.660919042524593
39;1;Новый;Рассмотрение заказчиком;102.9125124963181
39;2;Рассмотрение заказчиком;Оценка кандидата;61.22493534467092
39;3;Оценка кандидата;Отклонен;665.1795796976813
40;1;Новый;Рассмотрение рекрутером;444.2334799640887
40;2;Рассмотрение рекрутером;Самоотказ;3.506716772850033
40;3;Самоотказ;Отклонен;1.111388160586329
41;1;Новый;Рассмотрение заказчиком;542.5718468978073
41;2;Рассмотрение заказчиком;Интервью;620.0997237879387
41;3;Интервью;Интервью;1.369962885662228
41;4;Интервью;Планирование интервью;0.7861625791340907
41;5;Планирование интервью;Интервью;393.3775947534915
41;6;Интервью;Заполнение анкеты;1.166333107834489
41;7;Заполнение анкеты;Заполнение анкеты;108.9427538777243
41;8;Заполнение анкеты;Проверка;141.4181748837601
41;9;Проверка;Решение о найме;427.5374119248528
41;10;Решение о найме;Согласование офера в компании;77.5367156181658
41;11;Согласование офера в компании;Готов к оформлению;320.1645168082901
41;12;Готов к оформлению;Оформление;47.1210733513415
41;13;Оформление;Оформлен;1.029482563996298
42;1;Новый;Рассмотрение рекрутером;271.114954252079
42;2;Рассмотрение рекрутером;Резерв;1.259021606605538
42;3;Резерв;Самоотказ;2625.929924528862
42;4;Самоотказ;Отклонен;213.5037717505621
43;1;Новый;Рассмотрение рекрутером;533.5134266195893
43;2;Рассмотрение рекрутером;Готов к переводу;1.036516870921992
43;3;Готов к переводу;Отклонен;84.36808539225075
44;1;Новый;Рассмотрение заказчиком;361.0670868390729
44;2;Рассмотрение заказчиком;Интервью;554.1968426393835
44;3;Интервью;Заполнение анкеты;0.7505998298448873
44;4;Заполнение анкеты;Проверка;94.22373167648053
44;5;Проверка;Решение о найме;474.6350820719641
44;6;Решение о найме;Согласование офера в компании;34.81654337571555
44;7;Согласование офера в компании;Готов к оформлению;317.4370529867598
44;8;Готов к оформлению;Оформление;22.69208154856698
44;9;Оформление;Оформлен;2.740804480766368
45;1;Новый;Рассмотрение заказчиком;682.617944929032
45;2;Рассмотрение заказчиком;Интервью;684.5094841604282
45;3;Интервью;Заполнение анкеты;1.931805810988063
45;4;Заполнение анкеты;Заполнение анкеты;203.7510687974398
45;5;Заполнение анкеты;Заполнение анкеты;44.55934214458404
45;6;Заполнение анкеты;Заполнение анкеты;167.315057200305
45;7;Заполнение анкеты;Проверка;63.0252261712305
45;8;Проверка;Решение о найме;613.8313353600888
45;9;Решение о найме;Согласование офера в компании;71.5368879572697
45;10;Согласование офера в компании;Готов к оформлению;235.3927133568664
45;11;Готов к оформлению;Оформление;63.98662152406393
45;12;Оформление;Оформлен;4.479098113537087
46;1;Новый;Рассмотрение заказчиком;5.590815837615427
46;2;Рассмотрение заказчиком;Интервью;409.9309739965722
46;3;Интервью;Заполнение анкеты;0.7555074533768547
46;4;Заполнение анкеты;Заполнение анкеты;245.5127710021575
46;5;Заполнение анкеты;Проверка;170.1328376684421
46;6;Проверка;Решение о найме;606.0004492999134
46;7;Решение о найме;Согласование офера в компании;71.8548022451484
46;8;Согласование офера в компании;Готов к оформлению;151.5927289947554
46;9;Готов к оформлению;Оформление;128.2053516172395
46;10;Оформление;Оформлен;5.049325498081481
47;1;Новый;Рассмотрение рекрутером;397.1184545222241
47;2;Рассмотрение рекрутером;Готов к переводу;2.605063988554235
47;3;Готов к переводу;Отклонен;11.7497348555638
48;1;Новый;Рассмотрение заказчиком;499.8003995745036
48;2;Рассмотрение заказчиком;Оценка кандидата;214.0499595080421
48;3;Оценка кандидата;Отклонен;313.6813542274891
49;1;Новый;Рассмотрение заказчиком;716.8564218321825
49;2;Рассмотрение заказчиком;Интервью;409.0866095257974
49;3;Интервью;Планирование интервью;1.682328313163746
49;4;Планирование интервью;Интервью;549.1554331146962
49;5;Интервью;Интервью;0.9128054891297035
49;6;Интервью;Интервью;1.556638975504129
49;7;Интервью;Интервью;1.540687134141794
49;8;Интервью;Заполнение анкеты;0.8450394940274504
49;9;Заполнение анкеты;Заполнение анкеты;55.28295707061688
49;10;Заполнение анкеты;Заполнение анкеты;85.90717304377593
49;11;Заполнение анкеты;Заполнение анкеты;224.2741189432002
49;12;Заполнение анкеты;Проверка;67.25685581482624
49;13;Проверка;Решение о найме;604.1373477685876
49;14;Решение о найме;Согласование офера в компании;33.09926897430634
49;15;Согласование офера в компании;Готов к оформлению;142.7491644942399
49;16;Готов к оформлению;Оформление;82.24366400728364
49;17;Оформление;Оформлен;7.512265157111069
50;1;Новый;Рассмотрение заказчиком;32.27827892785229
50;2;Рассмотрение заказчиком;Интервью;552.9281711122158
50;3;Интервью;Интервью;1.236695549466882
50;4;Интервью;Планирование интервью;0.7449492571001877
50;5;Планирование интервью;Интервью;196.9009638861605
50;6;Интервью;Планирование интервью;1.976386382099017
50;7;Планирование интервью;Отклонен;85.5113307999557
51;1;Новый;Рассмотрение рекрутером;252.3487161781011
51;2;Рассмотрение рекрутером;Резерв;1.889902672555384
51;3;Резерв;Самоотказ;8295.73792557423
51;4;Самоотказ;Отклонен;30.72282688568088
52;1;Новый;Рассмотрение заказчиком;111.5952133814739
52;2;Рассмотрение заказчиком;Интервью;528.9801416405954
52;3;Интервью;Планирование интервью;0.8265569181680901
52;4;Планирование интервью;Отклонен;659.7685627033036
53;1;Новый;Рассмотрение рекрутером;56.96153462623953
53;2;Рассмотрение рекрутером;Рассмотрение заказчиком;1.237910517259304
53;3;Рассмотрение заказчиком;Оценка кандидата;670.0203982805244
53;4;Оценка кандидата;Отклонен;48.88383758521902
54;1;Новый;Рассмотрение рекрутером;301.9086420880021
54;2;Рассмотрение рекрутером;Не выходит на связь;1.496797655096942
54;3;Не выходит на связь;Отклонен;444.9057858597344
55;1;Новый;Рассмотрение заказчиком;238.8449121582916
55;2;Рассмотрение заказчиком;Планирование интервью;449.4551752656532
55;3;Планирование интервью;Отклонен;406.9984430864949
56;1;Новый;Рассмотрение заказчиком;209.8886016874035
56;2;Рассмотрение заказчиком;Планирование интервью;406.2649363671088
56;3;Планирование интервью;Интервью;335.876152169275
56;4;Интервью;Планирование интервью;1.037440154032312
56;5;Планирование интервью;Отклонен;175.2405457395288
57;1;Новый;Рассмотрение рекрутером;111.1365688654638
57;2;Рассмотрение рекрутером;Планирование интервью;3.901129994339034
57;3;Планирование интервью;Интервью;673.5693565549581
57;4;Интервью;Заполнение анкеты;1.943519415015446
57;5;Заполнение анкеты;Заполнение анкеты;223.4843829871017
57;6;Заполнение анкеты;Заполнение анкеты;50.80968975175362
57;7;Заполнение анкеты;Заполнение анкеты;332.0818826166624
57;8;Заполнение анкеты;Заполнение анкеты;96.79824592546163
57;9;Заполнение анкеты;Заполнение анкеты;45.88064019116821
57;10;Заполнение анкеты;Проверка;27.14700678935509
57;11;Проверка;Решение о найме;481.3645020870147
57;12;Решение о найме;Согласование офера в компании;125.587318425192
57;13;Согласование офера в компании;Готов к оформлению;233.2303329119069
57;14;Готов к оформлению;Оформление;128.7160121236808
57;15;Оформление;Оформлен;3.543643917419864
58;1;Новый;Рассмотрение заказчиком;707.0135864353039
58;2;Рассмотрение заказчиком;Оценка кандидата;112.3307701204427
58;3;Оценка кандидата;Отклонен;277.1535151222012
59;1;Новый;Рассмотрение заказчиком;127.7230729250115
59;2;Рассмотрение заказчиком;Отклонен;389.8839103016369
60;1;Новый;Рассмотрение рекрутером;620.5250564349008
60;2;Рассмотрение рекрутером;Отклонен;2.942433635615032
61;1;Новый;Рассмотрение рекрутером;545.7999395165234
61;2;Рассмотрение рекрутером;Планирование интервью;1.013401695948339
61;3;Планирование интервью;Интервью;416.5680594721135
61;4;Интервью;Интервью;0.9853331476031845
61;5;Интервью;Заполнение анкеты;0.713466367350424
61;6;Заполнение анкеты;Заполнение анкеты;333.4949834870988
61;7;Заполнение анкеты;Проверка;40.31617656988363
61;8;Проверка;Решение о найме;460.8108614797463
61;9;Решение о найме;Согласование офера в компании;36.26302835490349
61;10;Согласование офера в компании;Готов к оформлению;254.5503219227544
61;11;Готов к оформлению;Оформление;54.02348992961061
61;12;Оформление;Оформлен;4.471060469921931
62;1;Новый;Рассмотрение рекрутером;37.75386034675257
62;2;Рассмотрение рекрутером;Самоотказ;2.450334227510486
62;3;Самоотказ;Отклонен;34.04192648969894
63;1;Новый;Рассмотрение заказчиком;262.9435872759216
63;2;Рассмотрение заказчиком;Оценка кандидата;94.14848463596569
63;3;Оценка кандидата;Отклонен;156.1344460799315
64;1;Новый;Рассмотрение заказчиком;270.4509781905692
64;2;Рассмотрение заказчиком;Оценка кандидата;12.17282294808523
64;3;Оценка кандидата;Отклонен;399.6495007815487
65;1;Новый;Рассмотрение заказчиком;128.4646034752976
65;2;Рассмотрение заказчиком;Отклонен;23.56801659988565
66;1;Новый;Рассмотрение заказчиком;305.241714617119
66;2;Рассмотрение заказчиком;Отклонен;348.3507850319893
67;1;Новый;Рассмотрение рекрутером;556.5902216693469
67;2;Рассмотрение рекрутером;Планирование интервью;1.772177434052695
67;3;Планирование интервью;Интервью;110.7321325921637
67;4;Интервью;Интервью;0.5788714123841412
67;5;Интервью;Интервью;1.195303424236683
67;6;Интервью;Интервью;0.7592046127333121
67;7;Интервью;Интервью;0.6872051255550887
67;8;Интервью;Заполнение анкеты;0.9302653583145848
67;9;Заполнение анкеты;Проверка;3.747355684113298
67;10;Проверка;Решение о найме;430.4669937427694
67;11;Решение о найме;Согласование офера в компании;24.88938252552884
67;12;Согласование офера в компании;Готов к оформлению;251.2778435491193
67;13;Готов к оформлению;Оформление;20.19463478337718
67;14;Оформление;Оформлен;6.578720712987296
68;1;Новый;Рассмотрение рекрутером;196.2245830051607
68;2;Рассмотрение рекрутером;Отклонен;2.053889052166434
69;1;Новый;Рассмотрение рекрутером;111.7293290909518
69;2;Рассмотрение рекрутером;Планирование интервью;2.043310731484313
69;3;Планирование интервью;Интервью;119.2983628840687
69;4;Интервью;Планирование интервью;1.437193024186669
69;5;Планирование интервью;Интервью;688.333112497498
69;6;Интервью;Планирование интервью;1.02462211726582
69;7;Планирование интервью;Отклонен;653.8765015522584
70;1;Новый;Рассмотрение заказчиком;438.8367406803936
70;2;Рассмотрение заказчиком;Интервью;23.66476396146201
70;3;Интервью;Интервью;0.5309953159863245
70;4;Интервью;Интервью;1.370549202344724
70;5;Интервью;Заполнение анкеты;0.9287305960720442
70;6;Заполнение анкеты;Заполнение анкеты;176.0051106023166
70;7;Заполнение анкеты;Проверка;123.3308861719912
70;8;Проверка;Решение о найме;172.08065035307
70;9;Решение о найме;Согласование офера в компании;66.4665316894485
70;10;Согласование офера в компании;Готов к оформлению;4.392331302654041
70;11;Готов к оформлению;Оформление;16.11410561007851
70;12;Оформление;Оформлен;1.944531547280014
71;1;Новый;Рассмотрение заказчиком;247.9756103323218
71;2;Рассмотрение заказчиком;Отклонен;31.09321966629651
72;1;Новый;Рассмотрение заказчиком;157.0121265166308
72;2;Рассмотрение заказчиком;Оценка кандидата;496.7389609620575
72;3;Оценка кандидата;Отклонен;674.1598130962205
73;1;Новый;Рассмотрение заказчиком;392.2069703131183
73;2;Рассмотрение заказчиком;Оценка кандидата;369.2793379737451
73;3;Оценка кандидата;Отклонен;344.9948703263603
74;1;Новый;Рассмотрение заказчиком;563.5892260943124
74;2;Рассмотрение заказчиком;Отклонен;656.9708374909782
75;1;Новый;Рассмотрение рекрутером;279.718608469416
75;2;Рассмотрение рекрутером;Резерв;2.450376963476454
75;3;Резерв;Отклонен;3509.677173345282
76;1;Новый;Рассмотрение рекрутером;418.6382419204159
76;2;Рассмотрение рекрутером;Рассмотрение заказчиком;3.54022861549667
76;3;Рассмотрение заказчиком;Планирование интервью;238.145461248292
76;4;Планирование интервью;Отклонен;342.6183031035848
77;1;Новый;Рассмотрение заказчиком;317.9778758438319
77;2;Рассмотрение заказчиком;Оценка кандидата;391.4491019684068
77;3;Оценка кандидата;Отклонен;633.1317865198849
78;1;Новый;Рассмотрение заказчиком;118.3118671795388
78;2;Рассмотрение заказчиком;Интервью;677.2519575485512
78;3;Интервью;Интервью;1.512440992035515
78;4;Интервью;Интервью;1.141429100493992
78;5;Интервью;Интервью;1.846833944854386
78;6;Интервью;Интервью;0.6728785863628005
78;7;Интервью;Заполнение анкеты;1.561243227211722
78;8;Заполнение анкеты;Заполнение анкеты;211.4004134894088
78;9;Заполнение анкеты;Проверка;290.3545004650344
78;10;Проверка;Решение о найме;700.9210991536526
78;11;Решение о найме;Согласование офера в компании;46.26158449787845
78;12;Согласование офера в компании;Готов к оформлению;215.5412195163665
78;13;Готов к оформлению;Оформление;61.53276008908142
78;14;Оформление;Оформлен;1.912007610457174
79;1;Новый;Рассмотрение заказчиком;212.7093639432207
79;2;Рассмотрение заказчиком;Интервью;536.7180396379927
79;3;Интервью;Интервью;1.37138982806089
79;4;Интервью;Заполнение анкеты;1.546259795829054
79;5;Заполнение анкеты;Заполнение анкеты;126.8516091238592
79;6;Заполнение анкеты;Проверка;49.63680319854692
79;7;Проверка;Решение о найме;442.2473063607349
79;8;Решение о найме;Согласование офера в компании;128.7885467056905
79;9;Согласование офера в компании;Готов к оформлению;33.60608712402495
79;10;Готов к оформлению;Оформление;20.63227926623203
79;11;Оформление;Оформлен;2.609489194495496
80;1;Новый;Рассмотрение заказчиком;451.1635316308986
80;2;Рассмотрение заказчиком;Оценка кандидата;496.6335043977449
80;3;Оценка кандидата;Отклонен;672.8289993542428
81;1;Новый;Рассмотрение заказчиком;309.6568419905119
81;2;Рассмотрение заказчиком;Планирование интервью;414.5093517121554
81;3;Планирование интервью;Отклонен;712.0192073384758
82;1;Новый;Рассмотрение рекрутером;363.1453284761502
82;2;Рассмотрение рекрутером;Рассмотрение заказчиком;2.246070056536491
82;3;Рассмотрение заказчиком;Отклонен;403.1843002550037
83;1;Новый;Рассмотрение заказчиком;418.3010506590725
83;2;Рассмотрение заказчиком;Планирование интервью;468.7477346953697
83;3;Планирование интервью;Отклонен;247.6752728361127
84;1;Новый;Рассмотрение рекрутером;567.9152440532109
84;2;Рассмотрение рекрутером;Планирование интервью;2.193877759031394
84;3;Планирование интервью;Интервью;546.848829703239
84;4;Интервью;Интервью;1.979830647353246
84;5;Интервью;Интервью;1.176845931107471
84;6;Интервью;Планирование интервью;0.6148211964718617
84;7;Планирование интервью;Интервью;506.7001782739699
84;8;Интервью;Интервью;1.86080732139445
84;9;Интервью;Интервью;0.8847449018204063
84;10;Интервью;Заполнение анкеты;1.004092537457495
84;11;Заполнение анкеты;Проверка;203.2571453543109
84;12;Проверка;Решение о найме;179.157846491956
84;13;Решение о найме;Согласование офера в компании;104.7726474146838
84;14;Согласование офера в компании;Готов к оформлению;186.6212989902633
84;15;Готов к оформлению;Оформление;84.47480448200731
84;16;Оформление;Оформлен;4.490776866708917
85;1;Новый;Рассмотрение рекрутером;694.2599451132224
85;2;Рассмотрение рекрутером;Отклонен;2.85901718571797
86;1;Новый;Рассмотрение рекрутером;565.1240903244811
86;2;Рассмотрение рекрутером;Готов к переводу;2.13586727969763
86;3;Готов к переводу;Отклонен;50.16616239400105
87;1;Новый;Рассмотрение заказчиком;222.2605793585909
87;2;Рассмотрение заказчиком;Отклонен;265.3185740571107
88;1;Новый;Рассмотрение рекрутером;437.7614919567618
88;2;Рассмотрение рекрутером;Самоотказ;3.085887922392941
88;3;Самоотказ;Отклонен;30.12952932495148
89;1;Новый;Рассмотрение рекрутером;633.054969849304
89;2;Рассмотрение рекрутером;Отклонен;2.295587445793821
90;1;Новый;Рассмотрение рекрутером;142.7304990838879
90;2;Рассмотрение рекрутером;Резерв;3.702448978345763
90;3;Резерв;Не выходит на связь;5021.439674295594
90;4;Не выходит на связь;Готов к переводу;417.208979599098
90;5;Готов к переводу;Оформлен;69.61995159046354
91;1;Новый;Рассмотрение рекрутером;660.8251413922355
91;2;Рассмотрение рекрутером;Планирование интервью;2.515940395175603
91;3;Планирование интервью;Отклонен;36.79617253319911
92;1;Новый;Рассмотрение заказчиком;586.9283560971683
92;2;Рассмотрение заказчиком;Отклонен;314.4292552124238
93;1;Новый;Рассмотрение рекрутером;117.738894866807
93;2;Рассмотрение рекрутером;Не выходит на связь;1.327601683161517
93;3;Не выходит на связь;Отклонен;714.9004859051735
94;1;Новый;Рассмотрение рекрутером;208.110574181883
94;2;Рассмотрение рекрутером;Планирование интервью;1.54765035851878
94;3;Планирование интервью;Интервью;601.5414702315273
94;4;Интервью;Интервью;1.010413681126029
94;5;Интервью;Интервью;1.869824837546183
94;6;Интервью;Планирование интервью;0.6316945783924723
94;7;Планирование интервью;Интервью;608.5190022555536
94;8;Интервью;Интервью;1.750545058338693
94;9;Интервью;Интервью;0.8839631267699384
94;10;Интервью;Интервью;1.938302109134186
94;11;Интервью;Интервью;0.8807537990592745
94;12;Интервью;Планирование интервью;1.130973448475007
94;13;Планирование интервью;Интервью;347.3745828791509
94;14;Интервью;Интервью;0.6115525104377018
94;15;Интервью;Интервью;0.6087163109141644
94;16;Интервью;Интервью;0.5558481167420262
94;17;Интервью;Заполнение анкеты;1.858776693939259
94;18;Заполнение анкеты;Проверка;127.3870073789469
94;19;Проверка;Решение о найме;712.3162253034751
94;20;Решение о найме;Согласование офера в компании;141.2356821819524
94;21;Согласование офера в компании;Готов к оформлению;69.198936885469
94;22;Готов к оформлению;Оформление;45.38709534537693
94;23;Оформление;Оформлен;3.316453160427483
